DT_PUBLICACAO;TEXTO;N_CURTIDAS;LINK_PUBLICACAO;DATA_DOWNLOAD;URL_ESP
2023-09-08;"O caminhão BYD eT18 100% elétrico combina 245 cv de potência e torque máximo de 450 Nm para entregar máxima eficiência para o seu dia a dia. Somados aos 165 km de autonomia e 13.300 kg de capacidade de carga, é a solução ideal para todo tipo de transporte.

Acesse o site no link da bio e saiba mais sobre os caminhões 100% elétricos da BYD.

#BYDBrasil #CaminhãoElétrico #MobilidadeVerde";136 curtidas;https://www.instagram.com/p/Cw7obPYOA0G/;2024-06-02;https://www.instagram.com/byd_brasil?utm_source=ig_web_button_share_sheet&igsh=ZDNlZDc0MzIxNw==
2023-09-12;"A BYD possui diversos modelos de empilhadeiras 100% elétricas com capacidades de carga e variações de altura que atendem todos os tipos de necessidade logísticas.

Arraste para o lado e conheça algumas das empilhadeiras 100% elétricas da BYD.

#BYDBrasil #BYDEnergy #LogísticaSustentável #FabricacaoBrasileira";80 curtidas;https://www.instagram.com/p/CxGydEoOByf/?img_index=1;2024-06-02;https://www.instagram.com/byd_brasil?utm_source=ig_web_button_share_sheet&igsh=ZDNlZDc0MzIxNw==
2023-09-13;"Com espaço interno otimizado e recarga rápida da bateria, o BYD D1 proporciona um novo conceito em mobilidade urbana.

Leve sua jornada para o próximo nível com a BYD! ⚡🚗

#BYDBrasil #MobilidadeElétrica #Inovação";422 curtidas;https://www.instagram.com/p/CxJNQaWurQH/;2024-06-02;https://www.instagram.com/byd_brasil?utm_source=ig_web_button_share_sheet&igsh=ZDNlZDc0MzIxNw==
2023-09-14;"Com capacidade para 25 toneladas e recarga completa em apenas 2,5 horas, o rebocador BYD Green Tug reinventa a eficiência no transporte de cargas.

Conheça as opções 100% elétricas que a BYD oferece para logística sustentável de sua empresa em nosso site no link da bio.

#BYDBrasil #Inovacao #EficienciaSustentavel";85 curtidas;https://www.instagram.com/p/CxLkLCUueAY/;2024-06-02;https://www.instagram.com/byd_brasil?utm_source=ig_web_button_share_sheet&igsh=ZDNlZDc0MzIxNw==
2023-09-15;"A BYD celebra o Dia do Cliente valorizando cada parceiro nesta trajetória de quase 10 anos no Brasil.

Greentech líder mundial em soluções de energia limpa, a BYD tem muito orgulho de proporcionar todos os produtos em um único lugar, oferecendo mais segurança e praticidade para seus clientes que buscam pela transição para a energia limpa. 🌱💡

#DiaDoCliente #BYD #EnergiaLimpa #BYDEnergy";72 curtidas;https://www.instagram.com/p/CxOUjnBO_Wb/;2024-06-02;https://www.instagram.com/byd_brasil?utm_source=ig_web_button_share_sheet&igsh=ZDNlZDc0MzIxNw==
2023-09-16;"Com a equipe da BYD Energy especializada em FINAME, sua busca por soluções energéticas eficazes é muito mais simples.

Entre em contato e tenha um suporte dedicado sem custos para seu credenciamento FINAME, com disponibilidade de reuniões e encontros durante 100% do seu processo de transição para a energia limpa.

#BYDEnergy #FINAME";131 curtidas;https://www.instagram.com/p/CxQe8POru0q/;2024-06-02;https://www.instagram.com/byd_brasil?utm_source=ig_web_button_share_sheet&igsh=ZDNlZDc0MzIxNw==
2023-09-18;"Os funcionários do Terminal de Contêineres de Paranaguá agora contam com um serviço de transporte com ônibus elétrico da BYD. 🚍

O ônibus chassi D9W é totalmente silencioso, com zero emissão de poluentes e tem um sistema de freios regenerativos que auxilia no carregamento da bateria sempre que houver frenagens. Outra vantagem é o piso baixo que oferece total acessibilidade a pessoas com dificuldade de locomoção.

Em média, mil funcionários utilizam o ônibus para se deslocar do Terminal até os postos de trabalho e, agora, serão beneficiados com um transporte de energia limpa e com muito conforto. 😊

#BYD #BYDBrasil #OnibusEletrico #Onibus";610 curtidas;https://www.instagram.com/p/CxWNYStuAuD/;2024-06-02;https://www.instagram.com/byd_brasil?utm_source=ig_web_button_share_sheet&igsh=ZDNlZDc0MzIxNw==
2023-09-20;"O caminhão 100% elétrico BYD eT7 possui avançada tecnologia e menor quantidade de componentes quando comparado com um modelo à combustão, o que significa um menor custo com manutenções por parte do proprietário.

Com 215cv de potência máxima, o eT7 vai transformar sua operação. 🚛🔌

#BYDBrasil #CaminhãoElétrico #BaixoCustoDeManutenção";77 curtidas;https://www.instagram.com/p/Cxah1IzOGPS/;2024-06-02;https://www.instagram.com/byd_brasil?utm_source=ig_web_button_share_sheet&igsh=ZDNlZDc0MzIxNw==
2023-09-20;"A BYD foi finalista da edição 2023 do Prêmio Automotive Business Experience na categoria Cidade Inteligente.

Nesta quarta-feira, 20, o diretor da divisão de ônibus da BYD, Bruno Paiva, recebeu a premiação pela entrega de 20 ônibus 100% elétricos D9W a Salvador, na Bahia. Com isso, a região metropolitana da cidade passou a ter uma das maiores frotas de ônibus elétricos em circulação no país.

Junto com a BYD, Salvador está na vanguarda da transição energética no Brasil. ⚡ 🚍

#BYD #abx23 #Onibus #OnibusEletrico";157 curtidas;https://www.instagram.com/p/CxbFOSsg3dh/?img_index=1;2024-06-02;https://www.instagram.com/byd_brasil?utm_source=ig_web_button_share_sheet&igsh=ZDNlZDc0MzIxNw==
2023-09-21;"Hoje é celebrado o Dia da Árvore! 🌲

A BYD trabalha pela melhoria na qualidade de vida de toda a população. Por isso, reforça a importância da eletrificação na mobilidade urbana nas grandes cidades brasileiras.

Por ano, cada ônibus da BYD evita a emissão de 125 mil kg de CO2, o equivalente ao plantio de 892 árvores.

Dessa forma, a BYD reforça sua missão de reduzir em 1°C a temperatura do planeta terra. ☀️🌎

#BYD #BYDBrasil #DiadaArvore #Arvore";291 curtidas;https://www.instagram.com/p/CxdDH2wgYb_/;2024-06-02;https://www.instagram.com/byd_brasil?utm_source=ig_web_button_share_sheet&igsh=ZDNlZDc0MzIxNw==
2023-09-21;"A BYD participou do Automotive Business Experience, na última quarta-feira, em São Paulo, considerado o maior ecossistema automotivo e da mobilidade do Brasil.

O evento reúne fabricantes, fornecedores e empresas de soluções para a indústria para a troca de experiências e networking.

No encontro, a BYD teve a oportunidade de expôr, em parceria com a E-Wolf, empresa especializada em estações de recarga para residências e condomínios, sua solução completa em energia fotovoltaica, da geração energética ao carregamento veicular. Além disso, exibiu também o BYD Seal, mais recente lançamento da empresa no Brasil.

#BYD #BYDBrasil #abx2023";217 curtidas;https://www.instagram.com/p/CxdFMzmu8YW/;2024-06-02;https://www.instagram.com/byd_brasil?utm_source=ig_web_button_share_sheet&igsh=ZDNlZDc0MzIxNw==
