DT_PUBLICACAO;TEXTO;N_CURTIDAS;LINK_PUBLICACAO;DATA_DOWNLOAD;URL_ESP
2023-08-24;"A exclusividade e a sofisticação que vão revolucionar a categoria do sedan.
#NovoNissanSentra
📸: @monotoshi";•;https://www.instagram.com/p/CwV7f1guxWI/;2024-06-02;https://www.instagram.com/nissanbrasil?igsh=MXU4eGZlaXk0NmNkNg==
2023-08-24;"🏁🏁 É Hoje! 🏁🏁
Estreia do Filme do Ano! Gran Turismo: de Jogador a Corredor! Confira essa história de perto nos principais cinemas do país e conta pra gente: você toparia participar desse desafio?
#BemVindoaEquipeNissan #granturismo";•;https://www.instagram.com/p/CwWI1izRm_w/;2024-06-02;https://www.instagram.com/nissanbrasil?igsh=MXU4eGZlaXk0NmNkNg==
2023-08-29;"O Desafio Gran Turismo está imperdível. Você corre no simulador e, se fizer o melhor tempo, leva para casa um Playstation 5 com simulador completo. Vá até um dos shoppings participantes e viva essa emoção única. #BEMVINDOAEQUIPENISSAN

Confira o regulamento no link na bio.";•;https://www.instagram.com/p/Cwi7zYWRm9t/?img_index=1;2024-06-02;https://www.instagram.com/nissanbrasil?igsh=MXU4eGZlaXk0NmNkNg==
2023-08-30;"A picape que está sempre pronta para os terrenos mais extremos. Marque o test drive e conheça.
#NissanFrontier
📸: @brunofioravanti";•;https://www.instagram.com/p/CwkyzrTMwKB/;2024-06-02;https://www.instagram.com/nissanbrasil?igsh=MXU4eGZlaXk0NmNkNg==
2023-08-31;"Com design arrojado, tecnologia avançada e desempenho surpreendente, o Novo Nissan Sentra é perfeito para você.
#NovoNissanSentra
📸: @monotoshi";•;https://www.instagram.com/p/CwnENNQOkus/;2024-06-02;https://www.instagram.com/nissanbrasil?igsh=MXU4eGZlaXk0NmNkNg==
2023-09-01;"SeXtou relembrando como foi a minha experiência com a @nissanbrasil na EXPOINTER 2023

@nissanbrasil obrigada pelo convite, e por me mostrar na prática que a Nissan faz o normal se tornar ExtraordinárioOo

Publicidade

#Nissan #NissanFrontier #picape #agro #4x4 #agricultura #agronomia";e;https://www.instagram.com/p/Cwpzsvrum8f/;2024-06-02;https://www.instagram.com/nissanbrasil?igsh=MXU4eGZlaXk0NmNkNg==
2023-09-02;"Dá licença que a gente agora faz parte da Equipe Nissan, e assim como em “Gran Turismo: De jogador a corredor”, que é um dos filmes mais emocionantes do ano , o O Desafio Gran Turismo veio com tudo por aqui. Missão dada, é missão cumprida! Mas quem levou melhor nesse desafio interno!? 👀

E você também pode fazer parte e correr no simulador e, se fizer o melhor tempo, leva para casa um Playstation 5 com simulador completo. Basta ter 18 anos, ir até um dos shoppings participantes e pronto! DE GRAÇA! Confira o regulamento no site! 🚙

#BEMVINDOAEQUIPENISSAN #GranTurismoFilme

@nissanbrasil
@sonypicturesbr
@duda.menegheti
@oguilhermediaz";e;https://www.instagram.com/p/CwsZSourCSq/;2024-06-02;https://www.instagram.com/nissanbrasil?igsh=MXU4eGZlaXk0NmNkNg==
2023-09-05;Já pensou em uma versão especial do Novo Nissan Sentra inspirado nas pistas de corrida de Gran Turismo? O show car foi desenvolvido pela Nissan para destacar o DNA japonês da marca e todo o design esportivo do carro! Ficou 🔥🔥🔥 né? E o melhor, você ainda pode ver o conferir ele de perto no Shopping Eldorado até o dia 18/09!;•;https://www.instagram.com/p/Cw03NtWxbBe/;2024-06-02;https://www.instagram.com/nissanbrasil?igsh=MXU4eGZlaXk0NmNkNg==
2023-09-06;"O Novo Nissan Sentra acompanha você aos seus lugares favoritos para que aproveite do seu jeito.
Do seu jeito em cada detalhe.

Agende um test drive.
#NovoNissanSentra";•;https://www.instagram.com/p/Cw3kspKxOXf/;2024-06-02;https://www.instagram.com/nissanbrasil?igsh=MXU4eGZlaXk0NmNkNg==
2023-09-11;"Além do seu design marcante e elogiado, o Novo Nissan Sentra conta com Sistema Premium de Som Bose®, Teto Solar elétrico, muitos equipamentos de segurança e conforto que são parte do DNA Nissan.

Conheça cada detalhe.
#NovoNissanSentra";•;https://www.instagram.com/p/CxEbKFIxoHp/;2024-06-02;https://www.instagram.com/nissanbrasil?igsh=MXU4eGZlaXk0NmNkNg==
